symbol,price,avg_volume_value,hv_60d,rsi_4d,hv_percentile
DBX,28.59000015258789,113548075.2553711,32.426404944675,0.0,32.904411764705884
HLN,11.100000381469728,155749532.4602623,31.41410446136248,9.706552495569682,29.22794117647059
KMI,27.46999931335449,370041197.40722656,32.33366449397148,12.676060121693979,31.801470588235293
SYK,379.75,617419943.3496094,30.186219287494538,14.285664260977015,25.735294117647058
MNST,63.09999847412109,339651526.39269257,24.841536745162767,16.142498636464566,10.477941176470589
EMXC,59.59999847412109,181135849.41630554,25.053548599611148,16.39369891625843,11.213235294117647
CSCO,63.20000076293945,1432228577.2001343,33.70459950475051,18.072244857626757,37.13235294117647
WMB,57.93000030517578,422628010.90878296,31.910305517097793,18.656714293441283,30.330882352941174
DGX,170.47999572753906,239373576.6413269,26.954305346622863,19.082373494608518,18.198529411764707
GSK,38.540000915527344,206101437.73506165,30.57622107562759,19.517122383440693,26.47058823529412
MA,569.5399780273438,1550348237.7410889,31.379258479672846,19.971393330129075,29.044117647058826
XLF,50.290000915527344,2424542000.830513,31.307427969272894,20.35931289688851,28.676470588235293
VEEV,235.0,283195796.7177429,34.26327094941885,20.640516735811147,39.52205882352941
TDY,489.2300109863281,151664343.48236084,32.188210486101624,23.005425083030616,31.61764705882353
DRI,203.13999938964844,297312881.91192627,32.00747541581061,23.74548969688861,30.514705882352942
CPRT,61.09000015258789,284757577.65244293,25.640952598439643,24.033126756526357,13.051470588235295
ZM,82.2699966430664,164339843.9191742,32.047057146215984,24.67954204222562,30.698529411764707
EPD,31.790000915527344,169728510.94857025,28.430779244444164,25.490115413671617,21.50735294117647
EWZ,27.670000076293945,640458228.9900551,29.913284265300305,25.71430128446154,25.0
HCA,381.80999755859375,552352657.5718384,33.460694567651956,26.13187732929063,35.845588235294116
