symbol,fin_met_count,rs_score,met_count,total_met_count,added_date
BITX,1,82.26935749588138,8,9,2025-05-23
SONY,2,94.43986820428336,8,10,2025-05-23
X,2,84.34925864909391,8,10,2025-05-23
PMEC,1,97.61120263591432,8,9,2025-05-23
SAH,7,81.56919275123559,8,15,2025-05-23
TISI,4,94.1000823723229,8,12,2025-05-23
COE,6,92.6173805601318,8,14,2025-05-23
EAT,4,91.54654036243822,8,12,2025-05-23
C,6,81.12644151565074,8,14,2025-05-23
QVCGB,3,99.97940691927512,8,11,2025-05-23
HTZ,2,97.88920922570016,8,10,2025-05-23
FSEA,5,92.95716639209226,8,13,2025-05-23
DOMO,1,92.00988467874794,8,9,2025-05-23
MO,5,80.09678747940691,8,13,2025-05-23
MNSO,7,92.82331136738055,8,15,2025-05-23
BROS,8,94.99588138385504,8,16,2025-05-23
KTOS,2,95.37685337726523,8,10,2025-05-23
ONLN,1,80.02471169686986,8,9,2025-05-23
FUSB,2,80.75061779242174,8,10,2025-05-23
NEUE,5,95.21210873146624,8,13,2025-05-23
FDRV,1,81.7339373970346,8,9,2025-05-23
FTEK,6,96.85955518945634,8,14,2025-05-23
SEIC,5,80.36449752883031,8,13,2025-05-23
GGAL,5,83.34019769357496,8,13,2025-05-23
ASPI,3,81.71334431630972,8,11,2025-05-23
DMYY,1,94.2648270181219,8,9,2025-05-23
SLAB,1,92.35996705107084,8,9,2025-05-23
MBOT,3,98.98064250411862,8,11,2025-05-23
HMN,2,80.43657331136738,8,10,2025-05-23
TGS,8,82.95922570016474,8,16,2025-05-23
SSNC,5,82.36202635914333,8,13,2025-05-23
GTX,2,95.84019769357496,8,10,2025-05-23
USAS,1,96.6330313014827,8,9,2025-05-23
CNM,1,89.89909390444811,8,9,2025-05-23
CVAC,5,97.42586490939044,8,13,2025-05-23
NEU,4,91.17586490939044,8,12,2025-05-23
TOI,5,99.9176276771005,8,13,2025-05-23
ATAI,6,88.86943986820428,8,14,2025-05-23
BETZ,1,80.18945634266886,8,9,2025-05-23
BH,1,89.6004942339374,8,9,2025-05-23
CYBR,7,90.04324546952223,8,15,2025-05-23
LANV,1,96.25205930807248,8,9,2025-05-23
BKNG,4,81.4971169686985,8,12,2025-05-23
BUG,1,80.4674629324547,8,9,2025-05-23
IONQ,4,97.26112026359144,8,12,2025-05-23
CFSB,4,98.2895414734673,8,12,2025-05-22
GOAU,1,94.69345698093768,8,9,2025-05-22
UUU,1,88.397733127254,8,9,2025-05-22
BZ,5,93.57032457496136,8,13,2025-05-22
GLDM,1,93.00360638845956,8,9,2025-05-22
QTJL,1,80.27820710973725,8,9,2025-05-22
CPSH,6,97.44461617722824,8,14,2025-05-22
AFK,1,89.79907264296754,8,9,2025-05-22
JNUG,1,97.13549716640908,8,9,2025-05-22
SLVP,1,89.46934569809376,8,9,2025-05-22
AAAU,1,92.96239052035034,8,9,2025-05-22
FROG,7,95.45595054095828,8,15,2025-05-22
SANM,2,80.14425553838228,8,10,2025-05-22
IAUM,1,92.97269448737764,8,9,2025-05-22
GOEX,1,94.5904173106646,8,9,2025-05-22
CPNG,2,85.7805255023184,8,10,2025-05-22
WOR,5,96.10510046367853,8,13,2025-05-22
SKE,1,96.17722823286964,8,9,2025-05-22
GOGO,6,96.76455435342606,8,14,2025-05-22
FEUZ,1,93.20968572900568,8,9,2025-05-22
RAYD,1,81.53529108706852,8,9,2025-05-22
TME,7,96.08449252962392,8,15,2025-05-22
KGC,7,96.32148377125192,8,15,2025-05-22
PHYS,6,92.75631117980424,8,14,2025-05-22
SGDM,1,95.94023699124162,8,9,2025-05-22
KEYS,4,81.07161257083976,8,12,2025-05-22
XNTK,1,80.20607934054611,8,9,2025-05-22
RGC,1,100.0,8,9,2025-05-22
CW,2,89.45904173106646,8,10,2025-05-22
BAR,1,92.9108706852138,8,9,2025-05-22
DBP,1,89.30448222565688,8,9,2025-05-22
EXEEW,3,92.52962390520352,8,11,2025-05-22
FDN,1,81.57650695517773,8,9,2025-05-22
GDX,1,94.28129829984545,8,9,2025-05-22
GLD,1,92.8696548171046,8,9,2025-05-22
THM,2,97.72282328696548,8,10,2025-05-22
OUNZ,1,92.89026275115918,8,9,2025-05-22
SAND,3,96.87789799072642,8,11,2025-05-22
SGOL,1,92.95208655332304,8,9,2025-05-22
GLTR,1,90.57187017001546,8,9,2025-05-22
ASA,4,96.37300360638848,8,12,2025-05-22
TBT,1,85.12107161257084,8,9,2025-05-22
FGDL,1,93.1066460587326,8,9,2025-05-22
IAU,1,92.94178258629572,8,9,2025-05-22
SPR,2,89.66512107161257,8,10,2025-05-22
SGDJ,1,92.84904688304998,8,9,2025-05-22
EMX,4,92.39567233384854,8,12,2025-05-22
XPEV,8,97.5682637815559,8,16,2025-05-22
GFI,1,96.4451313755796,8,9,2025-05-22
ULTA,4,87.61463163317877,8,12,2025-05-22
FENC,8,98.37197320968572,8,16,2025-05-22
RING,1,94.86862442040186,8,9,2025-05-22
MAXI,1,84.53374549201442,8,9,2025-05-22
DGP,1,96.75425038639877,8,9,2025-05-22
CEF,6,90.75734157650696,8,14,2025-05-22
AGMI,1,85.41988665636269,8,9,2025-05-22
WPM,6,95.27047913446675,8,14,2025-05-22
GAN,5,80.15455950540958,8,13,2025-05-22
TFPM,3,93.54971664090674,8,11,2025-05-22
CHKP,1,93.09634209170532,8,9,2025-05-22
SIL,1,88.99536321483771,8,9,2025-05-22
BTRN,1,90.36579082946936,8,9,2025-05-22
AKRO,2,97.1973209685729,8,10,2025-05-22
SOLV,5,82.23596084492529,8,13,2025-05-22
AUMI,1,95.92993302421432,8,9,2025-05-22
TTT,1,85.5950540958269,8,9,2025-05-22
NRSN,2,93.02421432251415,8,10,2025-05-22
GDXJ,1,94.26069036579084,8,9,2025-05-22
SBSW,1,94.41524987120042,8,9,2025-05-22
ICCC,4,97.64039155074704,8,12,2025-05-22
MOS,5,94.9201442555384,8,13,2025-05-22
PLNT,5,81.00978876867593,8,13,2025-05-22
NXT,7,96.66151468315302,8,15,2025-05-22
NUGT,1,97.166409067491,8,9,2025-05-22
DVS,3,99.17568263781556,8,11,2025-05-22
AU,6,97.68160741885626,8,14,2025-05-22
GDMN,1,96.93972179289028,8,9,2025-05-22
GPI,5,81.02009273570324,8,13,2025-05-22
MFG,3,85.57444616177227,8,11,2025-05-22
JOYY,3,90.2730551262236,8,11,2025-05-22
GILD,3,91.30345182895417,8,11,2025-05-22
AEM,7,95.84750128799588,8,15,2025-05-22
ATYR,1,92.17928902627511,8,9,2025-05-22
DRD,1,96.70273055126223,8,9,2025-05-22
NTCT,2,81.34981968057701,8,10,2025-05-22
CHTR,2,81.71045852653272,8,10,2025-05-22
OR,5,92.8981124204818,0,5,2025-05-21
ECBK,1,83.78350192929398,0,1,2025-05-21
ZK,8,93.24014187356562,0,8,2025-05-21
GROY,7,91.70925018250078,0,7,2025-05-21
JOF,1,89.62352695797267,0,1,2025-05-21
TXNM,4,91.7796786981014,0,4,2025-05-21
LARK,4,95.46213227623618,0,4,2025-05-21
TENX,2,90.95838982167066,0,2,2025-05-21
HSAI,6,99.5098550422359,0,6,2025-05-21
BITU,1,85.23307957034102,0,1,2025-05-21
NVCT,2,98.09156324955678,0,2,2025-05-21
HFFG,4,90.08760037543016,0,4,2025-05-21
VGZ,2,98.19584941078318,0,2,2025-05-21
QURE,6,98.55042235895296,0,6,2025-05-21
BROG,1,93.02325581395348,0,1,2025-05-21
ECNS,1,83.73135884868078,0,1,2025-05-21
ADP,6,80.18562936698301,0,6,2025-05-21
CART,3,80.30034414433204,0,3,2025-05-21
ZLAB,9,91.59453540515172,0,9,2025-05-21
PRPO,5,93.3361142976327,0,5,2025-05-21
