종목명,매수일,매수가,비중,수익률,차익실현,손절매,수익보호,롱여부
DFDV,2025-05-27,44.62,4.09,0.0,42.39 (5% 수익) 또는 3일 후,66.43,없음,False
ASST,2025-05-27,13.66,3.89,0.0,12.98 (5% 수익) 또는 3일 후,20.69,없음,False
KDLY,2025-05-27,26.19,2.43,0.0,24.88 (5% 수익) 또는 3일 후,47.7,없음,False
EVLV,2025-05-27,6.31,9.22,0.0,5.99 (5% 수익) 또는 3일 후,7.68,없음,False
UPXI,2025-05-27,14.32,6.65,0.0,13.61 (5% 수익) 또는 3일 후,18.63,없음,False
SMLR,2025-05-27,47.18,6.06,0.0,44.82 (5% 수익) 또는 3일 후,62.75,없음,False
APLD,2025-05-27,7.85,7.79,0.0,7.46 (5% 수익) 또는 3일 후,9.87,없음,False
SBSW,2025-05-27,6.29,10.0,0.0,5.98 (5% 수익) 또는 3일 후,7.17,없음,False
ETNB,2025-05-27,10.13,9.17,0.0,9.63 (5% 수익) 또는 3일 후,12.34,없음,False
GOOS,2025-05-27,11.98,10.0,0.0,11.38 (5% 수익) 또는 3일 후,13.69,없음,False
